Período;Região;Nº Total Receitas Prescritas Eletrónicas (Qt);Nº Embalagens Prescritas por DCI (CNPEM) (Qt);Nº Embalagens Prescritas por Marca por Exceção A (Qt);Nº Embalagens Prescritas por Marca por Exceção B (Qt);Nº Embalagens Prescritas por Marca por Exceção C (Qt);Nº Embalagens Prescritas Sem Necessidade de Justificação Técnica (Qt)
2018-06;ARS Lisboa e Vale do Tejo;1405754;5317629;12769;12899;249851;1252504
2018-07;ARS Centro;721681;2479918;5620;5207;194560;749382
2018-07;ARS Norte;1445266;4625073;9317;10353;244793;1450252
2018-08;ARS Norte;1284762;3978224;6987;9397;188066;1240323
2018-11;ARS Lisboa e Vale do Tejo;1526052;5757339;13735;13525;260165;1367275
2018-11;ARS Norte;1522111;4794583;10145;11252;243413;1549103
2018-12;ARS Centro;643038;2108593;4479;5564;157575;644105
2018-12;ARS Norte;1293527;3792788;7725;10402;197669;1210648
2019-01;ARS Lisboa e Vale do Tejo;1715257;6324602;12988;14369;280970;1459213
2019-02;ARS Lisboa e Vale do Tejo;1480357;5513744;12338;13446;243320;1287682
2019-04;ARS Alentejo;175231;591928;669;1131;36875;203239
2019-04;ARS Algarve;159149;484942;608;430;39142;149030
2019-05;ARS Algarve;176817;559443;936;315;46743;175981
2019-06;ARS Alentejo;163726;589525;525;1006;36376;202960
2019-06;ARS Centro;653196;2292098;4368;5563;166112;709800
2019-07;ARS Alentejo;186440;687402;633;1200;39238;236005
2019-08;ARS Centro;643463;2254690;3048;5166;139024;662904
2019-09;ARS Algarve;165006;522769;572;323;38524;156303
2019-09;ARS Centro;713821;2566396;4294;5379;170500;777627
2019-10;ARS Alentejo;203274;727372;711;1309;39070;249258
2019-11;ARS Centro;754836;2624246;5541;5937;172167;816234
2020-02;ARS Centro;724658;2490115;4545;6025;162367;771406
2020-02;ARS Norte;1513398;4978380;8861;13572;216265;1477542
2020-03;ARS Alentejo;179389;720052;594;1141;34021;236684
2020-04;ARS Lisboa e Vale do Tejo;1127490;5138772;8848;9557;157549;1224832
2020-05;ARS Centro;608980;2404962;4200;4680;150579;718311
2020-07;ARS Lisboa e Vale do Tejo;1375839;6003106;14312;13276;264730;1400599
2020-08;ARS Norte;1211352;4257723;6415;8347;167616;1188988
2020-09;ARS Alentejo;165684;658850;720;936;33979;218575
2020-09;ARS Centro;695237;2675569;4673;6432;177907;807814
2020-10;ARS Lisboa e Vale do Tejo;1520416;6134322;13397;15608;274082;1439085
2020-11;ARS Centro;662236;2641919;4578;5724;166412;821890
2020-12;ARS Algarve;128981;454058;612;621;33725;133713
2020-12;ARS Norte;1189565;4382854;6673;9409;189535;1261921
2021-01;ARS Centro;615216;2587126;3901;5797;163347;778133
2021-04;ARS Algarve;146121;545876;781;1082;34433;157144
2021-04;ARS Lisboa e Vale do Tejo;1273903;5548396;12365;18077;275708;1369448
2021-05;ARS Alentejo;160208;653006;589;1050;33221;226293
2021-05;ARS Lisboa e Vale do Tejo;1341465;5829902;12606;18541;289171;1436822
2021-06;ARS Centro;629270;2524254;4444;5962;162336;785113
2021-06;ARS Norte;1286188;4804702;7111;11654;199342;1406589
2021-08;ARS Alentejo;147562;613065;534;1072;28505;206405
2021-08;ARS Algarve;153651;545657;649;923;32631;151646
2021-08;ARS Lisboa e Vale do Tejo;1137144;5089063;9424;13586;192651;1137934
2021-09;ARS Algarve;157060;591932;780;789;38738;166502
2021-10;ARS Centro;710068;2853603;4767;6896;176882;880033
2021-10;ARS Lisboa e Vale do Tejo;1460329;6354349;12900;19125;278538;1461713
2021-10;ARS Norte;1525665;5742458;8094;13081;220083;1654662
2021-12;ARS Algarve;137050;499974;611;552;32059;144094
2022-01;ARS Algarve;149861;577814;543;433;38352;167544
2022-01;ARS Lisboa e Vale do Tejo;1331918;6238511;11923;18886;278008;1408349
2022-04;ARS Alentejo;153013;614681;628;1069;28643;210945
2022-04;ARS Centro;643745;2659431;3865;7298;150454;811672
2022-04;ARS Lisboa e Vale do Tejo;1318629;5819069;11857;18049;250550;1300226
2022-05;ARS Algarve;178198;654974;762;447;39282;186597
2022-05;ARS Centro;744634;3088260;4586;7691;176894;949113
2022-06;ARS Lisboa e Vale do Tejo;1335572;6055124;11138;19919;263814;1358195
2022-07;ARS Algarve;169078;616402;646;448;33626;169296
2022-09;ARS Centro;709109;3034235;4060;7612;170106;938276
2022-09;ARS Lisboa e Vale do Tejo;1465680;6698804;12307;20647;290481;1502552
2022-10;ARS Alentejo;179563;740549;690;1236;28656;247518
2022-10;ARS Norte;1611200;6333753;7901;13540;212769;1752234
2022-12;ARS Norte;1501728;5422508;6955;12327;181555;1453356
2023-01;ARS Centro;786066;3326890;5023;7837;172167;981115
2023-01;ARS Norte;1696710;6751192;8569;13541;214284;1828672
2023-02;ARS Algarve;169315;630663;575;383;32784;164012
2023-03;ARS Alentejo;198994;822798;829;1061;29581;273933
